stage_id,sample_id,input_sequence,predicted_sequence,is_exact_match,margin,memory_layer,conflict_flag,vector_dimension
stage1_dim512,0,RHZT,RHZT,True,1.0000,S,False,512
stage1_dim512,1,UNK,UNK,True,1.0000,S,False,512
stage1_dim512,2,INFS,INFS,True,1.0000,S,False,512
stage1_dim512,3,MLJJ,MLJJ,True,1.0000,S,False,512
stage1_dim512,4,MZI,MZI,True,1.0000,S,False,512
stage1_dim512,5,XMX,XMX,True,1.0000,S,False,512
stage1_dim512,6,VBNC,VBNC,True,1.0000,S,False,512
stage1_dim512,7,MRZK,MRZK,True,1.0000,S,False,512
stage1_dim512,8,IDMD,IDMD,True,1.0000,S,False,512
stage1_dim512,9,CZOJM,CZOJM,True,1.0000,S,False,512
stage1_dim512,10,JP,JP,True,1.0000,S,False,512
stage1_dim512,11,QG,QG,True,1.0000,S,False,512
stage1_dim512,12,AZT,AZT,True,1.0000,S,False,512
stage1_dim512,13,AD,AD,True,1.0000,S,False,512
stage1_dim512,14,UG,UG,True,1.0000,S,False,512
stage1_dim512,15,XU,XU,True,1.0000,S,False,512
stage1_dim512,16,BNTRU,BNTRU,True,1.0000,S,False,512
stage1_dim512,17,YNP,YNP,True,1.0000,S,False,512
stage1_dim512,18,ECQNY,ECQNY,True,1.0000,S,False,512
stage1_dim512,19,ERN,ERN,True,1.0000,S,False,512
stage1_dim512,20,PNL,PNL,True,1.0000,S,False,512
stage1_dim512,21,NW,NW,True,1.0000,S,False,512
stage1_dim512,22,VDVBN,VDVBN,True,1.0000,S,False,512
stage1_dim512,23,YT,YT,True,1.0000,S,False,512
stage1_dim512,24,JPX,JPX,True,1.0000,S,False,512
stage1_dim512,25,LP,LP,True,1.0000,S,False,512
stage1_dim512,26,TMMB,TMMB,True,1.0000,S,False,512
stage1_dim512,27,XLECZ,XLECZ,True,1.0000,S,False,512
stage1_dim512,28,PR,PR,True,1.0000,S,False,512
stage1_dim512,29,KD,KD,True,1.0000,S,False,512
stage1_dim512,30,AOFD,AOFD,True,1.0000,S,False,512
stage1_dim512,31,DV,DV,True,1.0000,S,False,512
stage1_dim512,32,SQM,SQM,True,1.0000,S,False,512
stage1_dim512,33,GWVMZ,GWVMZ,True,1.0000,S,False,512
stage1_dim512,34,PETWN,PETWN,True,1.0000,S,False,512
stage1_dim512,35,TFPSD,TFPSD,True,1.0000,S,False,512
stage1_dim512,36,CWVV,CWVV,True,1.0000,S,False,512
stage1_dim512,37,WPQVS,WPQVS,True,1.0000,S,False,512
stage1_dim512,38,ZZFS,ZZFS,True,1.0000,S,False,512
